;"Brasília";"Campo Grande";"Cuiabá";"Goiânia";"Belo Horizonte";"Rio de Janeiro";"São Paulo";"Vitória";"Curitiba";"Florianópolis";"Porto Alegre";"Belém";"Boa Vista";"Macapá";"Manaus";"Palmas";"Porto Velho";"Rio Branco";"Aracaju";"Fortaleza";"João Pessoa";"Maceió";"Natal";"Recife";"Salvador";"São Luís";"Teresina";"Macaé"
"07-2018";390,34;370,59;388,43;366,38;363,28;421,89;437,42;406,43;391,32;415,27;435,02;361,11;;;355,17;;;;344,89;379,26;347,15;;341,09;347,43;321,62;336,67;;360,86
"08-2018";385,62;364,66;385,61;362,47;357,93;417,05;432,81;395,70;389,15;431,30;419,81;360,30;;;360,17;;;;344,92;372,89;335,49;;335,61;340,14;311,92;329,42;;
"09-2018";390,14;383,77;;354,11;358,83;418,48;432,83;395,64;387,39;435,47;423,01;359,51;;;;;;;342,34;367,14;328,99;;330,30;332,75;315,86;324,04;;
"10-2018";408,57;396,80;;357,72;372,77;443,69;446,02;419,69;406,42;450,35;449,89;361,70;;;;;;;342,50;393,40;334,10;;329,90;330,20;331,02;333,36;;
"11-2018";430,82;420,80;;368,06;401,90;460,24;471,37;408,55;416,41;454,87;463,09;372,24;;;;;;;349,76;411,66;339,39;;332,21;333,50;330,17;354,83;;
"12-2018";435,83;422,88;;388,86;408,71;466,75;471,44;403,79;419,05;457,82;464,72;382,31;;;;;;;358,75;397,34;345,21;;341,40;340,57;343,82;353,40;;
"01-2019";427,10;414,83;;398,23;405,40;460,46;467,65;424,21;401,63;437,55;441,65;384,78;;;;;;;356,56;403,99;360,92;;351,83;348,85;353,43;353,85;;
"02-2019";427,54;438,64;;416,40;425,00;464,47;482,40;449,54;414,03;441,89;449,95;383,76;;;;;;;379,61;416,86;378,26;;375,58;376,34;362,93;368,82;;
"03-2019";474,94;447,50;;433,43;443,26;496,33;509,11;475,84;443,86;474,07;479,53;408,67;;;;;;;385,62;445,12;400,38;;399,01;401,35;382,35;395,58;;
"04-2019";487,02;492,55;;445,28;456,91;515,58;522,05;498,54;461,91;482,30;499,38;423,17;;;;;;;404,68;459,20;412,27;;410,10;417,03;396,75;423,66;;
"05-2019";487,30;423,97;;425,35;424,85;492,93;507,07;484,84;451,38;487,93;496,13;418,05;;;;;;;408,16;444,44;403,57;;406,07;417,85;392,97;;;
"06-2019";454,90;428,33;;421,65;429,30;498,67;501,68;485,34;446,54;494,96;498,41;407,67;;;;;;;383,09;448,73;398,72;;397,24;396,21;384,76;;;
"07-2019";449,27;420,07;;420,55;415,03;479,28;493,16;466,93;443,68;483,20;493,22;403,35;;;;;;;359,95;432,96;385,58;;381,27;381,10;372,25;;;
"08-2019";433,45;408,11;;399,40;401,14;462,24;481,44;441,50;441,28;464,24;469,17;393,94;;;;;;;337,96;402,84;367,86;;354,44;361,64;350,75;;;
"09-2019";420,01;396,98;;391,31;390,93;458,21;473,85;429,06;424,81;454,94;458,29;382,11;;;;;;;328,70;384,17;359,62;;352,57;367,16;345,04;;;
"10-2019";441,91;409,30;;395,70;391,85;462,57;473,59;428,25;421,86;458,28;463,24;377,37;;;;;;;325,01;387,18;351,19;;341,90;359,55;347,65;;;
